x coordinate,y coordinate,angle
-200,0,270
-200.8896582,-5.524004439,270.4864552
-201.8411494,-12.75794937,270.7919818
-202.7406018,-19.99667927,271.0975083
-203.6029113,-27.24013067,271.4030349
-204.4264229,-34.48807335,271.7085614
-206.567148,-44.47069668,276.861821
-208.0525828,-55.47879086,283.5582142
-208.2164512,-66.57829791,290.2546075
-207.0870929,-77.62199873,296.9510007
-204.6774838,-88.45858093,303.647394
-201.0206915,-98.94026422,310.3437873
-196.1665944,-108.9240285,317.0401805
-190.1814231,-118.273656,323.7365738
-183.1468394,-126.8615801,330.432967
-175.1588231,-134.570627,337.1293603
-166.3263629,-141.2956144,343.8257535
-156.769969,-146.9447864,350.5221468
-146.620029,-151.4410657,357.21854
-136.0150289,-154.7231049,3.914933286
-125.0996635,-156.7461239,10.61132654
-114.0228621,-157.4825205,17.30771979
-102.9357569,-156.9222474,24.00411305
-91.98962039,-155.0729488,30.7005063
-81.33380196,-151.9598568,37.39689955
-71.11368972,-147.6254463,44.09329281
-61.46872705,-142.1288561,50.78968606
-52.53050998,-135.5450817,57.48607931
-44.42099169,-127.9639524,64.18247257
-37.25081856,-119.4889052,70.87886582
-31.11782057,-110.2355736,77.57525908
-26.10567642,-100.3302105,84.27165233
-22.28277191,-89.90796456,90.96804558
-19.7012668,-79.11103722,97.66443884
-18.39638318,-68.08674189,104.3608321
-18.38592492,-56.98549425,111.0572253
-19.94285828,-49.20698811,112.9046554
-21.86766511,-42.17616056,113.210182
-23.79180707,-35.13934679,113.5157086
-27.96982004,-25.99913487,109.124353
-31.95769943,-15.74132746,103.0142553
-34.80522248,-5.111346568,96.90415771
-36.50825352,5.760956678,90.79406008
-37.04399461,16.7527712,84.68396245
-36.4067755,27.73917147,78.57386482
-34.60378625,38.595334,72.46376718
-31.6555176,49.19791611,66.35366955
-27.59546588,59.42645538,60.24357192
-22.46975986,69.16473927,54.13347429
-16.33663574,78.30212533,48.02337666
-9.265775606,86.73479825,41.91327902
-1.337515733,94.36694938,35.80318139
7.358066181,101.1118653,29.69308376
16.72217443,106.892913,23.58298613
26.64841778,111.6444105,17.4728885
37.02401824,115.3123732,11.36279086
47.73109243,117.8551272,5.252693232
58.64799085,119.2437827,359.1425956
69.65068011,119.4625625,353.032498
80.61415207,118.5089808,346.9224003
91.41384417,116.3938718,340.8123027
101.9270546,113.1412666,334.7022051
112.0343366,108.7881199,328.5921074
121.6208553,103.3838904,322.4820098
130.5776924,96.98997889,316.3719122
138.803084,89.67903033,310.2618145
146.2035764,81.53410881,304.1517169
152.6950884,72.64775365,298.0416193
158.2038659,63.12092804,291.9315216
162.6673204,53.06187195,285.821424
166.0347399,42.58487232,279.7113264
168.2678652,31.80896461,273.6012288
168.6214851,19.50479805,269.9146931
168.0239663,6.820082181,266.9997783
166.7987975,-5.818707728,264.0848635
164.9307536,-18.3786612,261.1699486
162.4265981,-30.82739677,258.2550338
-208.2164512,-157.4825205,3.914933286
168.6214851,119.4625625,359.1425956
376.8379363,276.945083,355.2276623
